Date,Nifty_Previous_Close,Nifty_Open,Open_Change,Nifty_Low,Nifty_High,Nifty_Close,Close_Change,Close_Change_%,Volume
2026-02-17,25682.75,25637.95,-44.8,25570.3,25764.4,25725.4,42.65,0.17,344100
2026-02-18,25725.4,25752.65,27.25,25645.15,25828.05,25819.35,93.95,0.37,310200
2026-02-19,25819.35,25873.35,54.0,25388.75,25885.3,25454.35,-365.0,-1.41,298200
2026-02-20,25454.35,25406.55,-47.8,25379.75,25663.55,25571.25,116.9,0.46,296600
2026-02-23,25571.25,25678.4,107.15,25609.35,25771.45,25713.0,141.75,0.55,313700
2026-02-24,25713.0,25641.8,-71.2,25327.6,25641.8,25424.65,-288.35,-1.12,439100
2026-02-25,25424.65,25512.6,87.95,25428.2,25652.6,25482.5,57.85,0.23,414200
2026-02-26,25482.5,25556.3,73.8,25400.95,25572.95,25496.55,14.05,0.06,405200
2026-02-27,25496.55,25459.85,-36.7,25141.3,25476.4,25178.65,-317.9,-1.25,438900
2026-03-02,25178.65,24659.25,-519.4,24603.5,24989.35,24865.7,-312.95,-1.24,519200
2026-03-04,24865.7,24388.8,-476.9,24305.4,24602.45,24480.5,-385.2,-1.55,599000
2026-03-05,24480.5,24615.95,135.45,24529.4,24854.2,24765.9,285.4,1.17,504300
2026-03-06,24765.9,24656.4,-109.5,24415.75,24700.9,24450.45,-315.45,-1.27,433400
2026-03-09,24450.45,23868.05,-582.4,23697.8,24078.15,24028.05,-422.4,-1.73,526900
2026-03-10,24028.05,24280.8,252.75,24079.95,24303.8,24261.6,233.55,0.97,444300
2026-03-11,24261.6,24231.85,-29.75,23834.3,24299.0,23866.85,-394.75,-1.63,407400
2026-03-12,23866.85,23674.85,-192.0,23556.3,23833.15,23639.15,-227.7,-0.95,501000
2026-03-13,23639.15,23462.5,-176.65,23112.0,23492.4,23151.1,-488.05,-2.06,519800
2026-03-16,23151.1,23116.1,-35.0,22955.25,23502.0,23408.8,257.7,1.11,540300
2026-03-17,23408.8,23493.2,84.4,23346.6,23656.8,23581.15,172.35,0.74,458800
2026-03-18,23581.15,23632.9,51.75,23618.45,23862.25,23777.8,196.65,0.83,382900
2026-03-19,23777.8,23197.75,-580.05,22930.35,23378.7,23002.15,-775.65,-3.26,550100
2026-03-20,23002.15,23110.15,108.0,23067.6,23345.15,23114.5,112.35,0.49,663300
2026-03-23,23114.5,22824.35,-290.15,22471.25,22851.7,22512.65,-601.85,-2.6,550300
2026-03-24,22512.65,22878.45,365.8,22624.2,23057.3,22912.4,399.75,1.78,538100
2026-03-25,22912.4,23064.4,152.0,23063.2,23465.35,23306.45,394.05,1.72,505400
2026-03-27,23306.45,23173.55,-132.9,22804.55,23186.1,22819.6,-486.85,-2.09,612600
2026-03-30,22819.6,22549.65,-269.95,22283.85,22714.1,22331.4,-488.2,-2.14,698600
2026-04-01,22331.4,22899.0,567.6,22618.6,22941.3,22679.4,348.0,1.56,518000
2026-04-02,22679.4,22383.4,-296.0,22182.55,22782.3,22713.1,33.7,0.15,495100
2026-04-06,22713.1,22780.3,67.2,22542.95,22998.35,22968.25,255.15,1.12,426400
2026-04-07,22968.25,22838.7,-129.55,22719.3,23153.85,23123.65,155.4,0.68,477000
2026-04-08,23123.65,23855.15,731.5,23828.5,24025.15,23997.35,873.7,3.78,639300
2026-04-09,23997.35,23909.05,-88.3,23682.8,23990.75,23775.1,-222.25,-0.93,466600
2026-04-10,23775.1,23880.55,105.45,23856.35,24074.05,24050.6,275.5,1.16,481300
2026-04-13,24050.6,23589.6,-461.0,23555.6,23907.4,23842.65,-207.95,-0.86,488800
2026-04-15,23842.65,24163.8,321.15,24145.8,24280.9,24231.3,388.65,1.63,460300
2026-04-16,24231.3,24385.2,153.9,24102.8,24400.95,24196.75,-34.55,-0.14,508000
2026-04-17,24196.75,24165.9,-30.85,24096.05,24371.9,24353.55,156.8,0.65,498600
2026-04-20,24353.55,24391.5,37.95,24241.25,24480.65,24364.85,11.3,0.05,415900
2026-04-21,24364.85,24374.55,9.7,24354.9,24601.7,24576.6,211.75,0.87,425800
2026-04-22,24576.6,24470.85,-105.75,24352.9,24515.95,24378.1,-198.5,-0.81,440500
2026-04-23,24378.1,24202.35,-175.75,24134.8,24310.2,24173.05,-205.05,-0.84,467500
2026-04-24,24173.05,24100.55,-72.5,23813.65,24206.0,23897.95,-275.1,-1.14,438400
2026-04-27,23897.95,23945.45,47.5,23936.2,24130.7,24092.7,194.75,0.81,430300
2026-04-28,24092.7,24049.9,-42.8,23957.05,24181.8,23995.7,-97.0,-0.4,554100
2026-04-29,23995.7,24096.9,101.2,24059.95,24334.7,24177.65,181.95,0.76,531100
2026-04-30,24177.65,23996.95,-180.7,23796.85,24087.45,23997.55,-180.1,-0.74,505500
2026-05-04,23997.55,24063.55,66.0,24004.75,24290.2,24119.3,121.75,0.51,419100
2026-05-05,24119.3,24052.6,-66.7,23882.05,24081.7,24032.8,-86.5,-0.36,363300
2026-05-06,24032.8,24171.0,138.2,23997.9,24356.5,24330.95,298.15,1.24,429200
2026-05-07,24330.95,24398.5,67.55,24284.0,24482.1,24326.65,-4.3,-0.02,440600
2026-05-08,24326.65,24233.65,-93.0,24126.65,24253.8,24176.15,-150.5,-0.62,335900
2026-05-11,24176.15,23970.1,-206.05,23799.1,23997.45,23815.85,-360.3,-1.49,390100
2026-05-12,23815.85,23722.6,-93.25,23348.4,23757.55,23379.55,-436.3,-1.83,447500
2026-05-13,23379.55,23362.45,-17.1,23262.55,23582.95,23412.6,33.05,0.14,415400
2026-05-14,23412.6,23530.25,117.65,23426.55,23777.2,23689.6,277.0,1.18,428700
2026-05-15,23689.6,23731.4,41.8,23610.3,23839.3,23643.5,-46.1,-0.19,408900
2026-05-18,23643.5,23482.2,-161.3,23317.1,23695.65,23649.95,6.45,0.03,392000
2026-05-19,23649.95,23675.3,25.35,23587.2,23782.3,23618.0,-31.95,-0.14,442000
2026-05-20,23618.0,23457.25,-160.75,23397.3,23690.9,23659.0,41.0,0.17,344100
2026-05-21,23659.0,23830.05,171.05,23596.6,23859.9,23654.7,-4.3,-0.02,348200
2026-05-22,23654.7,23671.2,16.5,23671.0,23835.65,23719.3,64.6,0.27,336100
2026-05-25,23719.3,23940.25,220.95,23922.85,24054.45,24031.7,312.4,1.32,351200
2026-05-26,24031.7,24004.1,-27.6,23885.45,24089.8,23913.7,-118.0,-0.49,387900
2026-05-27,23913.7,23880.35,-33.35,23858.25,23983.2,23907.15,-6.55,-0.03,531600
2026-05-29,23907.15,23902.15,-5.0,23484.75,24002.8,23547.75,-359.4,-1.5,1198000
2026-06-01,23547.75,23654.5,106.75,23357.95,23733.7,23382.6,-165.15,-0.7,421700
2026-06-02,23382.6,23229.15,-153.45,23229.15,23556.95,23483.55,100.95,0.43,511900
2026-06-03,23483.55,23415.95,-67.6,23151.5,23459.65,23405.6,-77.95,-0.33,450100
2026-06-04,23405.6,23282.45,-123.15,23247.3,23465.3,23416.55,10.95,0.05,412500
2026-06-05,23416.55,23478.95,62.4,23282.65,23516.35,23366.7,-49.85,-0.21,366200
2026-06-08,23366.7,23080.7,-286.0,23070.15,23267.3,23123.0,-243.7,-1.04,375700
2026-06-09,23123.0,23259.05,136.05,23104.45,23279.4,23242.1,119.1,0.52,402600
2026-06-10,23242.1,23233.95,-8.15,23184.6,23425.35,23214.95,-27.15,-0.12,380000
2026-06-11,23214.95,23104.4,-110.55,23072.05,23327.45,23161.6,-53.35,-0.23,363000
2026-06-12,23161.6,23412.55,250.95,23313.9,23645.35,23622.9,461.3,1.99,351900
2026-06-15,23622.9,23984.85,361.95,23817.8,24011.4,23853.9,231.0,0.98,398900
2026-06-16,23853.9,23923.9,70.0,23888.2,24002.6,23989.15,135.25,0.57,327300
2026-06-17,23989.15,24044.5,55.35,23969.7,24108.2,24085.7,96.55,0.4,352700
2026-06-18,24085.7,24073.8,-11.9,24036.95,24189.25,24168.0,82.3,0.34,340000
2026-06-19,24168.0,23991.2,-176.8,23901.9,24047.2,24013.1,-154.9,-0.64,447900
2026-06-22,24013.1,24106.6,93.5,24073.15,24168.05,24102.9,89.8,0.37,252800
